block_id,carcass_id,carcass_type,carcass_taxon,tissue_type,tissue_replication,tissue_mass_g,family_id,success,initial_larval_mass_g,end_larval_mass_g,larval_weight_gain,mean_prop_protein,mean_prop_fat
1,4,wild,reptile,muscle,4,0.42107,28,0,0.00299,NA,NA,0.283697668,3.42583e-4
1,4,wild,reptile,muscle,5,0.38236,33,1,0.00267,0.06586,0.06319,0.283697668,3.42583e-4
1,4,wild,reptile,viscera,4,0.4105,28,0,0.00293,NA,NA,0.217677071,0.017995739
1,5,wild,reptile,muscle,4,0.418,28,0,0.00317,NA,NA,0.238730791,0.003974879
1,5,wild,reptile,muscle,5,0.40481,33,0,0.00349,NA,NA,0.238730791,0.003974879
1,5,wild,reptile,viscera,4,0.3845,38,0,0.00284,NA,NA,0.204193706,0.104459249
1,5,wild,reptile,viscera,5,0.41707,33,0,0.00334,NA,NA,0.204193706,0.104459249
1,5,wild,reptile,viscera,6,0.38655,31,1,0.00253,0.06201,0.059480000000000005,0.204193706,0.104459249
1,6,wild,reptile,muscle,4,0.42389,38,0,0.00263,NA,NA,0.241997957,0.004206099
1,6,wild,reptile,muscle,5,0.39251,33,0,0.00335,NA,NA,0.241997957,0.004206099
1,6,wild,reptile,muscle,6,0.42521,31,1,0.00208,0.0975,0.09542,0.241997957,0.004206099
1,6,wild,reptile,viscera,4,0.39427,38,0,0.00232,NA,NA,0.199865958,0.067898863
1,6,wild,reptile,viscera,5,0.40375,33,0,0.00315,NA,NA,0.199865958,0.067898863
1,6,wild,reptile,viscera,6,0.38892,31,0,0.00274,NA,NA,0.199865958,0.067898863
1,8,wild,mammal,muscle,4,0.4233,38,1,0.00246,0.09198,0.08952,0.283969115,0.061044985
1,8,wild,mammal,muscle,5,0.42032,41,0,0.00282,NA,NA,0.283969115,0.061044985
1,8,wild,mammal,muscle,6,0.42507,31,1,0.00312,0.11086,0.10774,0.283969115,0.061044985
1,9,wild,mammal,muscle,4,0.41356,38,0,0.00245,NA,NA,0.293529973,0.008165381
1,9,wild,mammal,muscle,5,0.39204,41,1,0.00307,0.05549,0.052419999999999994,0.293529973,0.008165381
1,9,wild,mammal,muscle,6,0.4058,31,0,0.00325,NA,NA,0.293529973,0.008165381
1,9,wild,mammal,viscera,4,0.42408,38,0,0.00232,NA,NA,0.264735009,0.01831605
1,9,wild,mammal,viscera,5,0.42853,41,0,0.00259,NA,NA,0.264735009,0.01831605
1,10,lab,mammal,viscera,4,0.3865,38,0,0.00187,NA,NA,0.232137541,0.179563392
1,11,lab,mammal,muscle,4,0.41366000000000003,38,0,0.00221,NA,NA,0.237372523,0.017549183
1,10,lab,mammal,muscle,4,0.40753,38,1,0.0022,0.03552,0.03332,0.241252109,0.060106712
1,12,lab,mammal,viscera,4,0.39503,28,0,0.00266,NA,NA,0.221427215,0.027204717
1,12,lab,mammal,muscle,4,0.42196,28,0,0.00301,NA,NA,0.281268379,0.002118644
1,11,lab,mammal,viscera,5,0.39777,41,0,0.00265,NA,NA,0.213754291,0.01036208
1,11,lab,mammal,viscera,4,0.42037,28,0,0.00225,NA,NA,0.213754291,0.01036208
2,15,lab,mammal,muscle,1,0.40595,19,0,0.0026,NA,NA,0.254581194,0.012787724
2,15,lab,mammal,muscle,2,0.38648,33,0,0.00264,NA,NA,0.254581194,0.012787724
2,15,lab,mammal,muscle,3,0.40307,23,0,0.00295,NA,NA,0.254581194,0.012787724
2,15,lab,mammal,viscera,1,0.4349,19,0,0.00253,NA,NA,0.271180956,0.056591927
2,15,lab,mammal,viscera,2,0.39946,33,0,0.00248,NA,NA,0.271180956,0.056591927
2,15,lab,mammal,viscera,3,0.4193,23,0,0.0027,NA,NA,0.271180956,0.056591927
2,14,lab,mammal,muscle,1,0.41491,19,1,0.00251,0.10824,0.10573,0.171777348,0.00198165
2,14,lab,mammal,muscle,2,0.39999,33,0,0.0024,NA,NA,0.171777348,0.00198165
2,14,lab,mammal,muscle,3,0.38955,29,0,0.00234,NA,NA,0.171777348,0.00198165
2,14,lab,mammal,viscera,1,0.44245,19,0,0.00267,NA,NA,0.269362458,0.07029505
2,14,lab,mammal,viscera,2,0.37457,33,0,0.0025,NA,NA,0.269362458,0.07029505
2,14,lab,mammal,viscera,3,0.44425,4,1,0.0023,0.01496,0.01266,0.269362458,0.07029505
2,13,lab,mammal,muscle,1,0.43602,19,1,0.00265,0.10435,0.1017,0.252580977,0.009603593
2,13,lab,mammal,muscle,2,0.36874,33,0,0.00249,NA,NA,0.252580977,0.009603593
2,13,lab,mammal,muscle,3,0.38555,4,0,0.00202,NA,NA,0.252580977,0.009603593
2,13,lab,mammal,viscera,1,0.37089,19,1,0.00251,0.0176,0.015090000000000001,0.239044667,0.04719633
2,13,lab,mammal,viscera,2,0.4242,33,1,0.00246,0.09872,0.09626,0.239044667,0.04719633
2,13,lab,mammal,viscera,3,0.43368,4,0,0.00215,NA,NA,0.239044667,0.04719633
2,12,lab,mammal,muscle,1,0.37468,32,0,0.00246,NA,NA,0.271699523,0.035412953
2,12,lab,mammal,muscle,2,0.4252,8,1,0.00301,0.07117,0.06816,0.271699523,0.035412953
2,12,lab,mammal,muscle,3,0.377,19,0,0.00253,NA,NA,0.271699523,0.035412953
2,12,lab,mammal,viscera,1,0.38092,8,0,0.00272,NA,NA,0.25517138,0.037670437
2,12,lab,mammal,viscera,2,0.3886,19,0,0.0026,NA,NA,0.25517138,0.037670437
2,12,lab,mammal,viscera,3,0.41607,33,0,0.00265,NA,NA,0.25517138,0.037670437
2,11,wild,mammal,muscle,1,0.40277,4,0,0.00232,NA,NA,0.287848067,0.002527646
2,11,wild,mammal,muscle,2,0.38913,32,1,0.00254,0.07721,0.07467,0.287848067,0.002527646
2,11,wild,mammal,muscle,3,0.37539,8,0,0.0026,NA,NA,0.287848067,0.002527646
2,11,wild,mammal,viscera,1,0.4024,32,0,0.00238,NA,NA,0.235891102,0.043089962
2,11,wild,mammal,viscera,2,0.42387,8,0,0.0025,NA,NA,0.235891102,0.043089962
2,11,wild,mammal,viscera,3,0.44146,19,1,0.00262,0.02878,0.02616,0.235891102,0.043089962
2,10,wild,mammal,muscle,1,0.37746,4,0,0.00213,NA,NA,0.300569312,0.002144148
2,10,wild,mammal,muscle,2,0.3703,34,0,0.0024,NA,NA,0.300569312,0.002144148
2,10,wild,mammal,muscle,3,0.3909,32,1,0.00257,0.03183,0.029259999999999998,0.300569312,0.002144148
2,10,wild,mammal,viscera,1,0.43581,4,0,0.00248,NA,NA,0.365761048,0.203847715
2,10,wild,mammal,viscera,2,0.3791,34,0,0.00243,NA,NA,0.365761048,0.203847715
2,10,wild,mammal,viscera,3,0.41875,32,0,0.00245,NA,NA,0.365761048,0.203847715
2,9,wild,mammal,muscle,1,0.37895,4,1,0.00212,0.07756,0.07544000000000001,0.271261923,0
2,9,wild,mammal,muscle,2,0.40289,34,0,0.00254,NA,NA,0.271261923,0
2,9,wild,mammal,muscle,3,0.38324,32,1,0.00241,0.06461,0.0622,0.271261923,0
2,9,wild,mammal,viscera,1,0.40675,4,0,0.00246,NA,NA,0.245345533,0.008306654
2,9,wild,mammal,viscera,2,0.3622,34,0,0.00244,NA,NA,0.245345533,0.008306654
2,9,wild,mammal,viscera,3,0.36746,32,0,0.00243,NA,NA,0.245345533,0.008306654
2,8,wild,mammal,muscle,1,0.3622,29,0,0.00221,NA,NA,0.323689613,0.008822401
2,8,wild,mammal,muscle,2,0.36121,4,1,0.00204,0.08792,0.08588,0.323689613,0.008822401
2,8,wild,mammal,muscle,3,0.41782,34,0,0.00235,NA,NA,0.323689613,0.008822401
2,8,wild,mammal,viscera,1,0.43822,29,0,0.00254,NA,NA,0.253116509,0.171287685
2,8,wild,mammal,viscera,2,0.38125,4,0,0.00202,NA,NA,0.253116509,0.171287685
2,8,wild,mammal,viscera,3,0.3934,32,0,0.0028,NA,NA,0.253116509,0.171287685
2,7,wild,reptile,muscle,1,0.39498,29,0,0.00232,NA,NA,0.256897581,0.001074881
2,7,wild,reptile,muscle,2,0.40747,34,0,0.00234,NA,NA,0.256897581,0.001074881
2,7,wild,reptile,muscle,3,0.40517,32,1,0.00304,0.04616,0.04312,0.256897581,0.001074881
2,7,wild,reptile,viscera,1,0.38657,29,0,0.00208,NA,NA,0.207252994,0.002449193
2,7,wild,reptile,viscera,2,0.44525,34,0,0.00242,NA,NA,0.207252994,0.002449193
2,7,wild,reptile,viscera,3,0.38396,32,0,0.0027,NA,NA,0.207252994,0.002449193
2,6,wild,reptile,muscle,1,0.37379,29,0,0.00247,NA,NA,0.263177504,5.76813e-4
