date,carcass_sp_Chinese,carcass_type,carcass_taxon,carcass_weight,parent_generation,pair_id,male_size,female_size,clutch_size,n_larvae,total_larval_mass,carcass_weight_loss,breeding_success,prop_eggs_developed,average_larval_mass,larval_density,efficiency
2023-09-17,小白鼠,lab,mammals,9.45,2,6,5.02,5.51,2,6,1.2908,NA,1,3,0.21513333333333332,0.634920634920635,NA
2023-09-17,小白鼠,lab,mammals,17.37,2,7,5.08,5.68,32,21,3.6239,NA,1,0.65625,0.17256666666666667,1.2089810017271156,NA
2023-09-17,小白鼠,lab,mammals,9.01,2,8,5.29,5.41,19,13,2.5925,NA,1,0.6842105263157895,0.1994230769230769,1.4428412874583796,NA
2023-09-17,小白鼠,lab,mammals,13.5,2,9,5.67,5.49,32,25,3.7974,NA,1,0.78125,0.151896,1.8518518518518519,NA
2023-09-17,小白鼠,lab,mammals,15.61,2,10,5.3,6.02,28,21,4.4223,NA,1,0.75,0.2105857142857143,1.345291479820628,NA
2023-09-17,小白鼠,lab,mammals,20.23,2,11,5.12,5.79,25,19,4.9734,NA,1,0.76,0.2617578947368421,0.9391992090954029,NA
2023-09-17,小白鼠,lab,mammals,36.56,2,12,5.81,5.4,NA,0,0,NA,0,NA,NA,NA,NA
2023-09-17,小白鼠,lab,mammals,21.15,2,13,5.17,5.46,41,30,6.2436,NA,1,0.7317073170731707,0.20812,1.4184397163120568,NA
2023-09-17,小白鼠,lab,mammals,17.99,2,14,5.42,5.75,16,0,0,NA,0,0,NA,NA,NA
2023-09-17,小白鼠,lab,mammals,22.98,2,15,5.42,5.66,30,26,5.0712,NA,1,0.8666666666666667,0.19504615384615384,1.1314186248912097,NA
2023-09-17,小白鼠,lab,mammals,24.94,2,16,5.48,5.61,34,30,6.9045,NA,1,0.8823529411764706,0.23015,1.202886928628709,NA
2023-09-17,大白鼠,lab,mammals,64.27,2,17,5.85,5.22,19,0,0,NA,0,0,NA,NA,NA
2023-09-17,大白鼠,lab,mammals,63.83,2,18,5.66,5.66,35,30,8.087,NA,1,0.8571428571428571,0.2695666666666667,0.46999843333855557,NA
2023-09-17,小白鼠,lab,mammals,42.83,2,19,5.15,5.71,7,0,0,NA,0,0,NA,NA,NA
2023-09-17,小白鼠,lab,mammals,45.41,2,20,5.18,5.81,16,4,0.8913,NA,1,0.25,0.222825,0.08808632459810616,NA
2023-09-17,大白鼠,lab,mammals,89.44,2,21,5.6,5.91,20,0,0,NA,0,0,NA,NA,NA
2023-09-17,大白鼠,lab,mammals,96.35,2,22,5.65,4.67,7,0,0,NA,0,0,NA,NA,NA
2023-09-17,小白鼠,lab,mammals,25.09,2,23,5.85,5.33,34,7,2.4598,NA,1,0.20588235294117646,0.3514,0.27899561578318055,NA
